id ;grupo;lote;DATA_NASCIMENTO;DATA_RETIRADA;DATA_PRIMEIRA_SESSAO;DATA_TESTE_ESFORCO_POS;DATA_VO2_POS;DATA_MI;DATA_ECO3;DATA_hem;DATA_papilar;data_exclusao;motivo_exlusao;detalhamento_exclusao;HP;FC;Ao_M;AE_M;FP;GP; E; A;E_A;TDE;TRIV;FA;GA;Ao_B;AE_B;area_AE;DVED;DVES;Fenc;IM;area_VE_diast;area_VE_sist;FEAT;CDM;CSM;AM;CDA;CSA;AA;massa_VDE;massa_VE;massa_pulmao_umido;massa_pulmao_seco;massa_soleo;peso_2VO2;tempo_VO2;vo2_picoR;mortalidade;dia_morte;PVE_sist;PD2;FC_hem;DP_dt_mais;Dp_dt_menos;PAS;PAD;PAM;IL_10_AR;IL_6_AR;IL_1_AR;TNF_AR;GPX_AR;CAT_AR;SOD_AR;VEGF_AR;PLBT_GAPDH_RAZAO_AR;PLBP_GAPDH_RAZAO_AR;NCX_GAPDH_RAZAO_AR;HNE_GAPDH_RAZAO_AR;SERCA_GAPDH_RAZAO_AR;RyR_GAPDH_RAZAO_AR;CAV_GAPDH_RAZAO_AR;peso2;peso3;peso4;peso5;peso6;peso7;peso8;peso9;peso10;peso11;peso13
Significado das siglas;Grupos (SHAM, NT+IM, T60+IM, T90+IM, T180+IM);lote;Data de nascimento dos animais;Data de retirada dos animais do CEDEME;Data da primeira sessão de treinamento na piscina;Data do tesde de esforço pós treinamento independentemente se houve ou não mensuração do VO2pico;Data do teste de esforço cardiopulmonar após treinamento com mensuração do VO2pico;Data da cirurgia de infarto do miocárdio;Data do exame de ecocardiograma após o infarto do miocárdio;Data da avaliação hemodinâmica do ventrículo esquerdo;Data da avaliação da mecânica do músculo papilar;Data que o animal foi excluído;Motivo resumido da exclusão;;"Presença de hipertensão pulmonar (0= NÃO; 1= SIM)";Frequência cardíaca no exame de ecocardiografia (BPM);Diâmetro da aorta no modo-M (cm) ;Diâmetro do átrio esquerdo no modo-M (cm);Velocidade de pico do fluxo pulmonar (m/s);Gradiente pulmonar (mmHg);Velocidade de pico da onda E (m/s);Velocidade de pico da onda A (m/s);Razão da onda A pela onda E;Tempo de desaceleração da onda E (ms);Tempo de relaxamento isovolumétrico (ms);Velocidade de pico do fluxo aórtico (m/s);Gradiente aórtico (mmHg);Diâmetro da aorta modo-B (cm);Diâmetro do átrio esquerdo modo-B (cm);Área do átrio esquerdo modo-B (cm);Diâmetro do ventrículo esquerdo no final da diástole (cm);Diâmetro do ventrículo esquerdo na sístole (cm);Fração de encurtamento (%);Tamanho do infarto do miocárdio (%);Área do ventrículo esquerdo no final da diástole (cm²);Área do ventrículo esquerdo na sístole (cm²);Fração de encurtamento da área de secção transversa (%);Circunferência do ventrículo esquerdo na diástole no nível do papilar (cm);Circunferência do ventrículo esquerdo na sístole no nível do papilar (cm);Comprimento do infarto do miocárdio no nível do papilar (cm);Circunferência do ventrículo esquerdo no final da diástole na região apical (cm);Circunferência do ventrículo esquerdo na sístole na região apical (cm);Comprimento do infarto do miocárdio na região apical (cm);Massa do ventrículo esquerdo e ventrículo direito (gramas);Massa do ventrículo esquerdo (gramas);Massa do pulmão úmido (gramas);Massa do pulmão seco (gramas);Massa do músculo sóleo (gramas);Massa corporal no teste de esforço cardiopulmonar após o treinamento (gramas);Tempo no teste de esforço cardiopulmonar após o treinamento (s);Consumo de oxigênio pico após o treinamento (ml/kg/min);Morte após o infarto do miocárdio (0= NÃO, 1= SIM);Dias após o infarto do miocárdio;Pressão do ventrículo esquerdo na sístole (mmHg);Pressão do ventrículo esquerdo no final da diástole (mmHg);Frequência cardíaca na avaliação hemodinâmica (bpm);Derivada positiva da pressão ventricular esquerda (mmHg/s);Derivada negativa da pressão ventricular esquerda (mmHg/s);Pressão arterial sistólica na aorta;Pressão arterial diastólica na aorta;pressão arterial média na aorta;IL-10 da área remota do ventrículo esquerdo (pg/mg de proteína);IL-6 da área remota do ventrículo esquerdo (pg/mg de proteína);IL-1beta da área remota do ventrículo esquerdo (pg/mg de proteína);TNF-alfa da área remota do ventrículo esquerdo (pg/mg de proteína);Glutationa peroxidase da área remota do ventrículo esquerdo (U/mg de proteína);Catalase da área remota do ventrículo esquerdo (nmol/min/mg de proteína);Superóxido dismutase da área remota do ventrículo esquerdo (U/mg de proteína);VEGF da área remota do ventrículo esquerdo (pg/mg de proteína);Fosfolambam total da área remota corigida pelo GAPDH ;Fosfolambam fosforilada da área remota corigida pelo GAPDH ;Trocador sódio-cálcio da área infartada corigida pelo GAPDH ;4HNE da área remota corigida pelo GAPDH ;SERCA da área remota corigida pelo GAPDH ;Receptor de rianodina da área remota corigida pelo GAPDH ;CAV da área remota corigida pelo GAPDH ;1_sem_treino;2_sem_treino;3_sem_treino;4_sem_treino;5_sem_treino;6_sem_treino;7_sem_treino;8_sem_treino;2_VO2;ECO2;ECO3
1;T90+IM;1;17/11/2021;13/01/2022;24/01/2022;;;;;;;14/02/2022;lesão via respiratória (presa no ralo);Ficou presa no ralo da piscina. Não morreu afogada mas sofreu dano severo no sistema respiratório causado pela sucção da bomba da piscina, vindo a óbito poucas horas depois.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;204;206;222;;;;;;;
2;T180+IM;1;17/11/2021;13/01/2022;24/01/2022;19/03/2022;19/03/2022;22/03/2022;;29/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.798;0.574;1.329;0.276;0.118;232;1135;45.58232;0;7;129;11.3;367;13165;8960;128.342;92.4681;112.437;30.83040417;87.68089341;10.02914105;10.21125411;1.690299229;;;;;;;;;;;139;182;199;222;219;225;238;241;232;242;246
3;T180+IM;1;17/11/2021;13/01/2022;24/01/2022;19/03/2022;19/03/2022;22/03/2022;;29/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.711;0.55;1.386;0.279;0.13;211;1397;52.64627;0;7;129;13.5;346;12108;7671;129.85;92.4396;112.651;30.99417113;87.03244636;8.744861332;7.029408208;0.181688551;;;;;;;;;;;148;188;200;206;213;214;216;217;211;229;223
4;T60+IM;1;17/11/2021;13/01/2022;24/01/2022;19/03/2022;19/03/2022;22/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201;1608;52.13652;1;1;;;;;;;;;;;;;;;;;;;;;;;;126;170;180;191;198;197;204;202;201;213;
5;T90+IM;1;17/11/2021;13/01/2022;24/01/2022;19/03/2022;19/03/2022;22/03/2022;;29/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.908;0.679;1.393;0.286;0.124;224;1454;58.0326;0;7;124;11.8;359;9807;7203;121.929;94.6084;110.066;29.63585671;92.35733397;11.04808205;8.46825965;3.419527504;83.9598935;91.95318973;;;;;;;;;147;190;205;217;221;221;225;231;224;240;240
6;SHAM;1;17/11/2021;13/01/2022;;19/03/2022;19/03/2022;22/03/2022;;29/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.516;1.174;0.244;0.136;236;1017;42.7239;0;7;129;7.3;391;14259;10229;123.512;86.2542;106.155;34.72335661;86.23236561;9.465456843;10.80512641;1.29650615;;;;;;;;;;;141;185;198;211;222;220;229;234;236;237;243
7;NT+IM;1;17/11/2021;13/01/2022;;19/03/2022;19/03/2022;22/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256;1038;40.03758;1;1;;;;;;;;;;;;;;;;;;;;;;;;167;218;228;243;252;248;252;259;256;268;
8;T60+IM;1;17/11/2021;13/01/2022;24/01/2022;19/03/2022;19/03/2022;22/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;235;1393;48.8592;1;1;;;;;;;;;;;;;;;;;;;;;;;;141;194;209;228;227;229;240;232;235;241;
9;NT+IM;1;17/11/2021;13/01/2022;;19/03/2022;19/03/2022;22/03/2022;;29/03/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.708;0.532;1.378;0.281;0.116;251;1061;38.54632;0;7;102;16;309;6595;4731;101.002;74.4701;89.2393;;;;;2.323566264;;;;1.189;1.393139842;0.466171977;0.63627451;0.771461057;1.411062907;0.689262473;151;194;214;229;229;232;245;256;251;258;263
